word,count
તરફથી,243
ઝડપી,242
પૂર્ણ,242
નાના,242
જાણ,242
પ્રાપ્ત,242
પરથી,241
નરેન્દ્ર,240
પગલે,240
સેવા,240
સિવાય,240
કામગીરી,239
થતાં,239
લાગી,238
ભાજપના,237
જીવન,236
નંબર,235
સ્થાનિક,235
હોઈ,234
કાર,233
ટેસ્ટ,233
ધ્યાન,233
મેળવી,233
કોરોનાના,233
ગામમાં,233
નીચે,233
વડાપ્રધાન,232
ચર્ચા,231
ઓછી,231
મીડિયા,230
રજૂ,230
રાખી,230
જઈ,230
જાણવા,228
વાર,228
થોડા,226
સિંહ,226
દેશના,225
પ્રયાસ,225
ભાવ,224
અગાઉ,224
જયારે,223
હોવાની,222
કરતી,221
આવેલી,221
લીધા,221
થવા,220
લોકોએ,219
લોકોની,219
રિપોર્ટ,218
મુલાકાત,218
ઘર,218
કરીએ,218
પસાર,216
કલાક,215
પરિવાર,215
પાછળ,214
સહિતના,214
ત્યારબાદ,213
સંખ્યા,213
વિરોધ,212
હોવા,211
રાજ્યના,210
લોકોના,210
લાંબા,209
કોંગ્રેસના,209
હાજર,209
ખરીદી,208
થયેલા,208
દેશ,207
વિજય,207
ફક્ત,206
રાખવામાં,206
શેર,206
મોટો,206
મળ્યો,206
જવાબ,204
નેતા,204
શહેર,204
મૃત્યુ,203
મળ્યા,203
રાહુલ,203
ઉત્તર,201
સુરત,200
ઉલ્લેખનીય,200
ફોન,199
અંદર,198
મેચ,198
અરજી,198
બદલે,198
જમીન,197
સરળ,197
દિવસમાં,197
લો,197
ગામ,197
તાલુકાના,197
મંદિર,196
જોઇએ,196
પત્ની,196
શરૂઆત,195
વર્ષથી,195
ખરાબ,195
સાંજે,195
તેવા,195
ગામના,194
ગઇ,194
પ્રેમ,193
સામેલ,193
અભ્યાસ,193
ગુજરાતના,193
વિસ્તારોમાં,193
જવા,192
ઘરમાં,192
પ્રકારની,192
આર્થિક,191
કેટલીક,191
વ્યવસ્થા,191
જણાવી,191
રન,190
ગત,190
પરત,190
લાગુ,189
મંજૂરી,189
થવાની,189
લે,189
છ,188
જગ્યા,188
રકમ,188
શહેરના,187
વર્ષના,187
મુંબઈ,187
ભારતના,187
વધુમાં,186
ઘટાડો,186
ઉપલબ્ધ,186
આપતા,186
સમસ્યા,186
ઉત્પાદન,186
ધરાવે,185
હોસ્પિટલ,185
આધાર,185
જેની,185
બને,185
ખાનગી,185
કહી,185
ચોક્કસ,185
સમાચાર,184
ખુબ,184
જણાવ્યા,184
પ્રાથમિક,184
મોદીએ,182
પીએમ,182
જોઈ,181
સારા,181
ખર્ચ,181
જાણકારી,181
શક્ય,181
અધ્યક્ષ,180
બસ,180
મેં,180
વિરુદ્ધ,180
એન્ડ,179
બનાવવામાં,179
માતા,179
રાત્રે,179
પ્રક્રિયા,178
શ્રેષ્ઠ,178
ખબર,177
કહેવામાં,177
માટેની,176
કેસમાં,176
ગામે,176
વ્યક્ત,176
સંખ્યામાં,176
૧૦,176
રાષ્ટ્રીય,176
ધ્યાનમાં,175
પોઝિટિવ,175
હંમેશા,175
કાર્ય,174
મળ્યું,174
મહિનામાં,174
ફરીથી,174
પૈસા,173
ધરી,173
પ્રકારના,172
જેટલા,172
મી,170
ખાન,170
નું,170
અધિકારીઓ,170
સ્ટેશન,170
ક્યારેય,169
કર્યુ,169
અધિકારી,168
નાની,168
લીધે,168
ઝડપથી,167
દીધો,167
રાજકીય,167
આપ્યું,167
ડો,166
વિશેષ,166
થતી,166
શિક્ષણ,165
આદેશ,165
જગ્યાએ,165
આરોપી,165
ધરાવતા,165
આપ્યા,164
માનવામાં,164
મેળવવા,164
સુંદર,164
વિદ્યાર્થીઓ,163
જાણો,163
નહિ,163
સાત,162
ઓછા,161
તંત્ર,161
કિંમત,161
સામનો,160
નહી,159
કાર્યક્રમ,159
પ્રદેશ,158
સ્પષ્ટ,158
વર્ષમાં,158
કરનાર,158
માંગ,157
હત્યા,156
મજબૂત,156
દાવો,156
રોકાણ,156
છોડી,155
નુકસાન,155
નોંધાયા,154
જતાં,154
બાબતે,153
સુરક્ષા,153
વગેરે,153
ગુનો,153
રહેલી,153
નોકરી,152
પરિણામ,152
નજર,152
આપણા,152
થયેલ,151
પરીક્ષા,151
યાદ,151
કરવાના,151
હુમલો,151
દક્ષિણ,150
અમદાવાદમાં,150
શકશે,149
સરકારની,149
પોતે,149
વજન,149
તેનાથી,149
તાલુકા,149
સફળ,149
પહોંચ્યા,149
રાખવા,149
કેન્દ્રીય,148
પોસ્ટ,148
આપશે,148
નિર્માણ,148
જુઓ,148
ફરજ,148
બધી,148
માર્ગ,147
અમારા,147
સ્થાન,147
વિના,147
જન્મ,147
બનશે,147
ગાંધી,146
ચૂંટણીમાં,146
ખેડૂતો,146
વિભાગ,146
બન્ને,146
વિગતો,146
પહેલી,146
પતિ,145
કોર્ટે,145
જુદા,145
અંતિમ,144
બન્યા,144
તાજેતરમાં,144
એવો,143
આપવાની,143
શક્યતા,142
મિનિટ,142
બાળક,142
વારંવાર,142
અમારી,142
મહિના,142
સંબંધિત,142
શાહ,142
કોરોનાની,141
સંપર્ક,141
પ્રમાણમાં,140
લખ્યું,140
વાયરલ,140
મુદ્દે,140
એને,140
પસંદગી,140
દો,139
ક્રિકેટ,139
વિસ્તાર,139
થયેલી,139
મોરબી,139
અચાનક,139
વડોદરા,138
અમુક,138
પાકિસ્તાન,138
કરવાથી,138
કરેલ,138
દેશની,138
ચીન,137
ઉપસ્થિત,137
પોલીસને,137
જીવનમાં,137
ગ્રામ,137
તૈયારી,136
પશ્ચિમ,136
મા,136
શાળા,136
રસી,136
ઉચ્ચ,136
પોતાનો,135
સ્થિત,135
પ્રતિ,135
અમને,135
કલાકમાં,135
અંતર્ગત,135
પૂરી,135
તેવું,134
દરમ્યાન,134
બધું,134
કદાચ,133
બેંક,133
બાળકોને,133
માંથી,133
મળતી,133
વિદેશી,133
પ્રવેશ,133
૩,132
તેમનો,132
બનાવે,132
પૈકી,132
આશા,131
રાહત,131
વિચાર,131
ખાલી,130
રાખીને,130
સારું,130
નિવેદન,130
પોતાનું,130
ફી,130
બાજુ,129
મે,129
સફળતા,129
કરાઈ,129
બાકી,129
કોવિડ,129
પાડી,128
રાખો,128
જામનગર,128
૧,128
સ્થળ,128
મુશ્કેલ,128
દવા,128
શુક્રવારે,127
શો,127
આનંદ,127
મિત્રો,127
તેઓએ,127
કોર્ટમાં,127
આરોપ,127
બેઠકો,127
એની,126
નામના,126
આવતી,126
વાહન,126
ગરમ,126
કરાવી,126
ભૂમિકા,126
કહેવું,126
સમાન,126
મહત્વપૂર્ણ,126
સિસ્ટમ,126
ધારાસભ્ય,126
રચના,126
કહેવાય,125
સ્થળે,125
આગ,125
સારો,125
ધ,125
પાર્ટી,125
એના,125
બહુ,124
તક,124
નામે,124
વેચાણ,124
નેશનલ,124
પિતા,124
સાંસદ,123
અત્યારે,123
કરાયો,123
દર્દીઓ,123
મેડિકલ,123
સરકારના,123
વિશ્વાસ,123
મહિલાઓ,122
કરતો,122
વડા,122
રહેવા,122
પ્રધાન,122
ભાગમાં,122
એકવાર,122
બાદમાં,122
સંપૂર્ણપણે,122
શકતા,121
ખરેખર,121
તેમનું,121
થોડી,120
રાખે,120
જેટલી,120
૪,120
૬,120
સુપ્રીમ,120
સમયથી,119
રંગ,119
મત,119
ચિંતા,119
કાર્ડ,119
આવક,119
સ્વાસ્થ્ય,118
કુમાર,118
લેતા,118
અમિત,118
ગાંધીનગર,118
વસ્તુ,117
સુવિધા,117
પ્રોજેક્ટ,117
જાણે,117
વાતચીત,117
થતો,117
ઉદાહરણ,117
પાલન,117
મંગળવારે,117
ભાવનગર,117
કર્મચારીઓ,116
એટલું,116
સોમવારે,116
મોટું,116
અર્થ,116
દૂધ,115
ભગવાન,115
ચોરી,115
ફેરફાર,115
સાબિત,115
મૂળ,115
ટીમે,115
સેન્ટર,115
પ્રદર્શન,115
દીધા,115
ફિલ્મમાં,115
કહ્યુ,115
આવું,114
કંપનીઓ,114
ભોજન,114
ખાતરી,114
આવો,114
અમેરિકા,114
માણસ,114
સામાજિક,114
ખેતી,113
અનુભવ,113
જવાબદારી,113
વિશ્વ,113
મળીને,113
પૂજા,111
વર્તમાન,111
કરાશે,111
ઉભી,111
રવિવારે,111
મોટાભાગના,111
પ્રતિબંધ,111
દીધું,111
દિલ્હીમાં,111
કડક,111
ભાઈ,110
શરીર,110
સામગ્રી,110
દર્શન,110
રોગ,110
કિસ્સામાં,110
ટ્રેન,110
પાણીની,109
પડ્યો,109
રસ્તા,109
ત્યાર,109
મતદાન,109
આશરે,109
સક્રિય,109
લોકપ્રિય,108
ક્યારેક,108
રાહ,108
હજી,108
વાયરસના,108
લોકડાઉન,107
માટેના,107
રેલવે,107
તેલ,107
મોબાઇલ,107
હાથમાં,107
દિવસોમાં,107
વોર્ડ,106
લક્ષણો,106
અપીલ,106
આઠ,106
પુત્ર,106
સમાજ,106
મદદથી,106
સ્તર,106
કઈ,106
ક્ષમતા,106
આધુનિક,106
રદ,105
સ્થિતિમાં,105
આથી,105
ભારતની,105
ગુજરાતી,105
બેઠકમાં,105
સંબંધ,105
માર્ચ,105
હવામાન,104
સ્ટાફ,104
લાલ,104
શરુ,104
સંભાવના,104
૧૫,104
મળતા,104
શોધી,104
દિવસથી,104
કેપ્ટન,103
પટેલે,103
દઈએ,103
વન,103
ટેક્સ,103
રજૂઆત,103
એરપોર્ટ,103
ઓફર,102
બપોરે,102
દેખાય,102
લોન,102
કરાયું,102
કોણ,102
એટલા,102
નાણાકીય,102
ગમે,102
શનિવારે,102
ધરવામાં,102
વિભાગના,102
પરિસ્થિતિ,102
નીકળી,101
હોત,101
પાસ,101
નર્મદા,101
વર્લ્ડ,101
સવાલ,100
ફાયદો,100
જનતા,100
સહિતની,100
શુભ,100
દે,100
માસ્ક,100
તરત,100
ફોટો,100
વ્યવસાય,100
પ્રધાનમંત્રી,100
કુદરતી,100
વસ્તુઓ,100
દરરોજ,100
સિવિલ,99
ઉમેદવાર,99
તારીખ,99
સરકારને,99
સન્માન,99
મોડી,99
જોખમ,98
બજારમાં,98
બાબત,98
મધ્ય,98
ખેડૂત,98
પત્ર,98
ડોઝ,98
અંતે,98
આધારિત,98
લગાવી,98
સાફ,98
તમારું,98
દારૂ,98
પોતાને,97
જીત,97
કંઈ,97
સુરક્ષિત,97
અકસ્માત,97
સાથેની,97
ધીમે,97
રસ,96
હોવાના,96
પ્રસંગે,96
ટીવી,96
પાછા,96
વિકેટ,96
નોંધપાત્ર,96
લોકસભા,96
ક્લિક,96
નેતાઓ,96
વાળ,96
બજાર,96
વાગ્યે,96
રાષ્ટ્રપતિ,95
કલમ,95
તસવીર,95
ડોલર,95
નિયમ,94
નવો,94
૨૦,94
ક્યાં,94
વધે,94
બદલ,94
પગલાં,94
અંગેની,94
રેકોર્ડ,94
કલાકે,94
બનાવ,94
કંઈક,93
મેચમાં,93
અસરકારક,93
વ્યક્તિને,93
ચેરમેન,93
જઇ,93
પ્રયત્ન,93
વિકલ્પ,93
જથ્થો,93
તાલીમ,93
નામની,93
જીવ,93
હાર્દિક,93
ધમકી,93
ડિગ્રી,93
પાણીમાં,93
આસપાસ,93
વર્ષીય,92
ભાગે,92
સભ્ય,92
વિધાનસભા,92
સુરતમાં,92
પરિવારના,92
સલમાન,92
રામ,92
આખા,92
કંપનીએ,92
કોઈને,92
મોબાઈલ,92
હેલ્થ,92
રૂપિયાની,92
ત્રીજા,92
સલાહ,91
દંડ,91
જેમાંથી,91
પાર,91
બુધવારે,91
સજા,91
ભલે,91
જણાવ્યુ,91
સંજય,91
કાઢી,91
નોંધાયો,91
સફેદ,91
ઉર્ફે,91
ફોર્મ,91
આખરે,90
મન,90
પાડવામાં,90
ઘટી,90
નાણાં,90
કાપી,90
સમર્થન,90
ચીફ,90
આંકડા,90
પંચાયત,89
રહેતી,89
જૂના,89
કાર્યક્રમમાં,89
વિતરણ,89
બન્યો,89
દિવસની,89
ઓળખ,89
સૌ,89
૫,89
આંતરરાષ્ટ્રીય,89
વિશાળ,89
જવાબદાર,89
ઉજવણી,89
બીજો,89
ભારતે,89
વિષય,89
માનવ,88
છેલ્લી,88
આભાર,88
૨,88
સંસ્થા,88
સુધારો,88
યુનિવર્સિટી,88
યુવાન,88
હોવાનો,88
હાજરી,88
ખુશ,88
જીતી,88
તાત્કાલિક,88
કરેલી,88
કયા,88
તોડી,87
કૃષિ,87
ત્રણેય,87
પેટ્રોલ,87
જોઈને,87
પડ્યા,87
પાર્ક,87
મૂકી,87
કોર્ટ,86
બોર્ડ,86
માર્કેટ,86
દબાણ,86
લાંબી,86
સભ્યો,86
ફરાર,86
જેનો,86
મુસ્લિમ,86
શારીરિક,86
આજ,85
માર્ગદર્શન,85
કર્મચારી,85
ઓછું,85
જાણીતા,85
કોરોનાથી,85
બેન્ક,85
સંયુક્ત,85
ખોરાક,85
મચી,85
શાંતિ,85
પકડી,85
એજન્સી,85
અંત,85
નિયમિત,85
વાતો,85
બદલી,84
આગાહી,84
શર્મા,84
તેવો,84
વિદ્યાર્થીઓને,84
અત્યંત,84
પહોંચ્યો,84
અગ્રણી,84
લોકોમાં,84
ઓછામાં,84
બચાવવા,84
જેલમાં,83
જારી,83
નોંધાવી,83
દિવસો,83
લોન્ચ,83
આંકડો,83
સપાટી,83
ઉભા,83
દિશામાં,83
યુવક,83
દિલ્હીઃ,83
કરેલા,83
યુવા,83
સહાય,83
લીધું,83
નિયમો,83
પ્રકાશ,83
વેક્સિન,83
પગ,83
ઘણાં,83
સુનાવણી,83
મુંબઇ,83
ચૂક્યા,82
તાપમાન,82
ટી,82
વ્યક્તિગત,82
ચાર્જ,82
વિચારો,82
રિલીઝ,82
રજા,82
આવેલું,82
લાગ્યો,82
પી,82
શરૂઆતમાં,82
નવું,82
ઉલ્લેખ,82
હકીકત,82
નહોતી,82
માર,82
આપીને,82
ખેડૂતોને,81
સાથેના,81
સંક્રમિત,81
રહેવું,81
શા,81
જાડેજા,81
ઉત્તમ,81
ડિઝાઇન,81
એપ્રિલ,81
માનસિક,81
મહારાષ્ટ્ર,81
સ્કૂલ,81
તાલુકામાં,81
મહત્વ,81
ગામની,81
રાજકોટમાં,81
લેવાની,81
ઇન્ડિયા,81
ભવ્ય,81
ઉપાય,81
આજથી,81
ઓછો,81
સાથ,80
પ્રમાણ,80
૧૨,80
આક્ષેપ,80
પ્રશ્ન,80
એકદમ,80
જેઓ,80
જતી,80
મળવા,80
પાલિકા,80
અમેરિકાના,80
ગરીબ,80
અભિનેતા,80
વાગ્યા,80
આપણી,79
કરશો,79
વિરાટ,79
ઓપરેશન,79
આવશ્યક,79
વર્ષો,79
કપૂર,79
ચાલે,79
વાયરસ,79
મામલો,79
લાગ્યા,79
ઊભી,79
ગુરુવારે,79
વહેલી,79
દોડી,78
બજેટ,78
વિદેશ,78
સ્થાને,78
કેટલા,78
જાણી,78
સક્ષમ,78
કરાયા,78
પરિણામે,78
બિઝનેસ,78
૭,78
ટ્વીટ,78
મુક્ત,78
રોકડ,78
ઓનલાઇન,78
આવ્યુ,77
ઉંમર,77
મોકલી,77
મોદીના,77
સમજી,77
યુવતી,77
રક્ષણ,77
બનવા,77
હોમ,77
મહામારી,77
ભરી,77
લાગણી,77
વાતાવરણ,77
પરમાર,77
પુસ્તક,77
મારો,77
સૌરાષ્ટ્ર,77
તસવીરો,77
વેપારી,77
વધતા,76
ઉપયોગી,76
વિવાદ,76
બનાવ્યા,76
નગર,76
દવાઓ,76
સ્થાપિત,76
૫૦,76
કેસો,76
લોકોનો,76
ફિલ્મો,76
તેમાંથી,76
અર્થે,76
બિલ,76
આવ્યાં,76
વધીને,76
બાળકને,76
જનરલ,76
તીવ્ર,76
હજારો,76
જૂની,76
તેઓને,76
આંતરિક,76
વિભાગે,76
આંદોલન,76
૮,76
મિત્ર,76
સેક્સ,75
જીવાણુ,75
કેન્સર,75
જાતે,75
અલબત્ત,75
ઘરની,75
અભિનેત્રી,75
શકાશે,75
બનેલા,75
મહત્વની,75
ઘણું,75
પ્રત્યે,75
વાળા,75
ઘણો,75
ગઈકાલે,75
પોરબંદર,75
ટ્રાફિક,74
પરિણામો,74
ગુજરાતની,74
લાખની,74
ભોગ,74
શરીરમાં,74
જૂનાગઢ,74
પુરી,74
રાખવી,74
સરળતાથી,74
કમાણી,74
સરદાર,74
પોલીસની,74
પ્રવાસ,74
યાત્રા,74
ભાગના,74
ઘરના,74
સ્વાગત,74
સમાજના,74
વળી,74
થઈને,74
આવરી,74
ચર્ચામાં,73
રમી,73
વિગત,73
મહત્વનું,73
મીટર,73
એર,73
ટિકિટ,73
કેટલી,73
જઈને,73
આવતાં,73
ધાર્મિક,73
બનાવવાની,73
જેનાથી,73
રહેલ,73
સમસ્યાઓ,73
કાયદો,73
દુર,72
સાજા,72
અભિયાન,72
મહાન,72
માને,72
કાર્યરત,72
એમાં,72
ભેગા,72
અમદાવાદના,72
હોઇ,72
કોંગ્રેસે,72
સત્તા,72
ભાવમાં,72
૧૧,72
એવોર્ડ,72
શક્તિ,72
એપ,72
સમક્ષ,72
મકાન,72
હોવું,72
ભલામણ,72
એસ,72
સર્વિસ,71
ફેસબુક,71
જમા,71
થવું,71
ટૂંક,71
શાનદાર,71
ગીત,71
માહોલ,71
કરનારા,71
ગાંધીએ,71
માંગે,71
ભાજપે,71
પાવર,71
૩૦,70
એન્ટ્રી,70
સંભવિત,70
રાજસ્થાન,70
વરસાદની,70
સૂચના,70
સેના,70
સુધીની,70
સ્વસ્થ,70
દેશો,70
આપ,70
પેદા,70
આવવા,70
વાંચો,70
ચેતવણી,70
દર્દી,70
લેશે,70
અમેરિકન,70
બીજું,70
જોતા,70
નિશાન,70
મુશ્કેલી,70
સેટ,70
જેવું,70
ચેપ,70
યોગ,70
યુદ્ધ,70
સ્તરે,69
નં,69
પહેલેથી,69
પરવાનગી,69
અહેવાલ,69
બેસી,69
પાટીદાર,69
સાચી,69
કિલો,69
પડતા,69
નિયંત્રણ,69
ચાલો,69
ઘાયલ,69
માંગણી,69
સ્માર્ટ,69
મારે,69
સંચાલન,69
રોકવા,69
કાળા,69
નજરે,69
વિરૂદ્ધ,68
પૂરો,68
અવાજ,68
બાંધકામ,68
કરું,68
ગ્રાહકો,68
થોડો,68
અંદાજે,68
રાજ,68
વીમા,68
દીકરી,68
કિમી,68
કરોડની,68
આજના,68
૧૪,68
ઓક્સિજન,68
૯,67
પ્રારંભ,67
બન્યું,67
દસ,67
જુદી,67
સ્ટેશનમાં,67
ખોટી,67
સરેરાશ,67
પાર્ટીના,67
મહિને,67
પ્રદેશના,67
વધશે,67
માતાપિતા,67
વ્યાપક,67
દેશભરમાં,67
કારમાં,67
રસપ્રદ,67
રૂમ,67
પડતી,67
મહેનત,67
ગેસ,67
મંત્રાલયે,67
મૂકવામાં,67
ડેટા,67
શ્વાસ,67
કોલેજ,67
અલી,67
પક્ષના,67
ક્ષેત્રમાં,67
તપાસમાં,67
કંપનીના,66
પ્રશ્નો,66
ટૂંકા,66
આપો,66
ટ્વિટર,66
પુત્રી,66
સ્પેશિયલ,66
જી,66
ગ્રુપ,66
એટલી,66
બી,66
શિકાર,66
૨૪,66
દોઢ,66
જીએસટી,66
વધતી,66
સીટ,66
નવેમ્બર,66
હોવી,66
પામી,66
નુકશાન,66
ક્રમે,66
રાખવું,66
પ્રદેશમાં,66
અંદાજ,66
ત્વચા,66
તબીબી,66
કપડાં,65
શંકા,65
ગ્રામ્ય,65
ચૂકી,65
સંજોગોમાં,65
સત્તાવાર,65
રસ્તો,65
રમત,65
ઉપયોગમાં,65
તકલીફ,65
કચ્છ,65
નોંધી,65
રાખવાની,65
આવતો,65
વિશ્વમાં,65
વડે,65
ટીમના,65
દિવાળી,65
નજીકના,65
લાખો,65
અમરેલી,65
હિન્દુ,65
ફાયર,65
૧૮,65
કેસની,65
સંકેત,65
પ્લાન,64
આંખો,64
બહેન,64
અમલ,64
નોટિસ,64
અનામત,64
નાયબ,64
દેખાવ,64
વૈશ્વિક,64
વરિષ્ઠ,64
મીડિયામાં,64
જાન્યુઆરી,64
જવું,64
સ્વામી,64
સ્થાપના,64
કરાવવા,64
નોંધનીય,64
દર્શાવે,64
શોધવા,64
સંક્રમણ,64
ઓફિસ,64
કોરોનાને,64
ફિલ્મના,63
પરેશાન,63
જામીન,63
વાસ્તવિક,63
હાલત,63
છોકરી,63
આઉટ,63
આતંકી,63
મુખ્યત્વે,63
સેવાઓ,63
પ્રકાર,63
ધ્યાને,63
ત્યાંથી,63
તમારો,63
પ્રારંભિક,63
પગલા,63
આપવાનું,63
નિધન,63
રાજ્યોમાં,63
કમિશનર,63
સુધીના,63
મેસેજ,63
આદિવાસી,63
યાદીમાં,63
ઓનલાઈન,63
વાર્ષિક,63
ડિસેમ્બર,63
આસપાસના,63
ઈન્ડિયા,63
પરિવારને,63
અમેરિકામાં,63
રૂમમાં,63
નદી,63
પાકિસ્તાનના,63
સંશોધન,63
સી,63
સ્વાદ,62
દુનિયામાં,62
ખેલાડીઓ,62
શામેલ,62
રહેતો,62
ગણવામાં,62
નવ,62
કરોડના,62
હકીકતમાં,62
સ્ટાર,62
કાળજી,62
ચીનના,62
પરિવર્તન,62
પદ,62
કારણો,62
ત્રીજી,62
વર્ષનો,62
શૈક્ષણિક,62
અધિકારીએ,62
હાલતમાં,62
કાયદા,62
સાધનો,62
ભરતી,62
હસ્તે,62
ડે,62
જોડાયેલા,62
ગૃહ,62
દર્દીઓને,62
મંદિરમાં,62
શોધ,62
સપ્ટેમ્બર,62
બાળકોના,62
લાવવા,61
એક્ટિવ,61
કલેકટર,61
કાર્યો,61
પગલું,61
જવાની,61
બાઇક,61
યોજાશે,61
દિવસના,61
બનાવો,61
સર્વે,61
ફ્રી,61
સમાપ્ત,61
ગયેલા,61
રોલ,61
રસીકરણ,61
ટન,61
જોઇ,61
અધિકારીઓને,61
ધર્મ,61
