word1,word2,count
બનાવવા,માટે,142
રહ્યો,હતો,142
કે,તેઓ,141
સોશિયલ,મીડિયા,140
અત્યાર,સુધી,139
આ,વર્ષે,139
બીજી,તરફ,138
નથી,પરંતુ,137
આપી,છે,136
છે,તેમણે,136
પણ,છે,136
સરકાર,દ્વારા,132
હતો,કે,131
હોવા,છતાં,129
જેમ,કે,129
છે,આજે,128
હતી,પરંતુ,128
લે,છે,127
છે,જેને,127
કરી,દેવામાં,126
ન,હોય,125
ગયું,છે,125
કર્યા,છે,125
કે,તમે,125
અને,તેની,125
હતું,અને,124
અને,પછી,124
જાહેરાત,કરી,122
છો,તો,122
આ,વખતે,122
હતું,આ,122
તો,તમે,122
છે,તેની,121
અને,એક,121
નથી,અને,120
માનવામાં,આવે,119
અને,તેમના,119
લીધો,હતો,118
ના,રોજ,118
થયું,હતું,117
માટે,આ,117
શું,છે,116
બનાવે,છે,116
તે,જ,115
માટે,પણ,115
છે,તેમાં,115
દીધી,છે,115
આ,દરમિયાન,115
આ,મામલે,114
છે,એટલે,114
ચાલી,રહી,113
છે,તેને,112
સારી,રીતે,112
પર,પણ,112
આપવા,માટે,111
જ,છે,111
મળી,છે,111
આ,સિવાય,111
સારવાર,માટે,110
ધરપકડ,કરી,110
છે,જ્યાં,110
થઈ,ગયા,110
કે,જો,110
અલગ,અલગ,110
કામ,કરે,109
તેમ,જ,109
થી,વધુ,108
અત્યાર,સુધીમાં,108
તો,આ,108
થઈ,ગયો,107
આવી,રહ્યા,107
થઈ,જાય,107
કરવાની,જરૂર,107
મીડિયા,પર,106
આ,રીતે,106
છે,તમે,106
ત્યાં,સુધી,104
કરો,છો,104
રોડ,પર,104
પરંતુ,આ,104
આ,જ,104
સામે,આવી,104
છે,તેમ,102
બને,છે,101
હતી,તે,101
દેવામાં,આવી,100
કેસ,નોંધાયા,100
છે,તેમજ,100
હાથ,ધરવામાં,99
છે,અહીં,99
એ,જ,99
નોંધાયા,છે,99
રાખે,છે,99
આપવામાં,આવે,99
પરંતુ,તે,99
કરો,અને,98
તે,સમયે,97
થયા,બાદ,97
કે,હું,97
લીધી,હતી,97
કહેવું,છે,97
વાત,કરી,97
કરવામાં,આવેલ,97
કરીએ,તો,97
કોરોના,વાયરસના,96
તપાસ,હાથ,96
દઈએ,કે,96
જણાવ્યું,છે,95
વધુ,એક,95
જણાવી,દઈએ,95
બની,શકે,94
થઈ,રહ્યો,94
આવી,શકે,93
કરી,દીધી,93
તેની,સાથે,93
આપ્યો,હતો,93
તમે,તમારા,92
વાત,કરીએ,92
સાથે,સાથે,92
ધરી,છે,92
વડાપ્રધાન,નરેન્દ્ર,92
આ,માટે,92
જોવા,મળ્યો,91
નરેન્દ્ર,મોદી,91
કહ્યું,છે,91
હતી,જે,91
આપવામાં,આવશે,91
કર્યા,બાદ,91
તેના,પર,91
મોટી,સંખ્યામાં,90
ન,હતી,90
કહેવાય,છે,89
તેના,માટે,88
શરૂ,થઈ,88
મળ્યો,હતો,88
તેમ,છતાં,88
નથી,કે,88
આવેલ,છે,87
લોકો,માટે,87
એ,પણ,86
વર્ષ,માં,86
ગઇ,છે,86
હજુ,પણ,86
તે,પણ,85
ખુબ,જ,85
ત્યાર,બાદ,85
આવી,રહ્યું,85
મેળવવા,માટે,85
પર,એક,84
બંધ,કરી,84
હતા,ત્યારે,83
કે,અમે,83
હતો,પરંતુ,83
મોત,થયા,83
કરી,રહ્યાં,83
લીધી,છે,83
મળી,રહી,82
આયોજન,કરવામાં,82
લીધો,છે,82
આપ્યો,છે,82
જાણવા,મળ્યું,81
કામ,કરી,81
મળી,શકે,81
કરી,રહ્યો,81
તમારી,પાસે,80
તો,પણ,80
કે,એક,79
ઉપયોગ,કરી,79
હોય,કે,79
પણ,કરી,79
હતી,ત્યારે,79
એટલું,જ,79
નવી,દિલ્હીઃ,78
થઈ,ગયું,78
ભારત,અને,77
દ્વારા,કરવામાં,77
શા,માટે,77
એટલા,માટે,77
દીધી,હતી,77
છે,અથવા,77
થઈ,રહી,77
માટે,તે,77
હતો,જેમાં,77
થઇ,હતી,77
છે,જેની,76
છે,ખાસ,76
છે,આવા,76
હતુ,કે,76
દેખાય,છે,75
મદદ,કરે,75
હતા,પરંતુ,75
તે,એક,75
લેવા,માટે,74
માત્ર,એક,74
છે,અમે,74
કાર્યવાહી,હાથ,73
છે,સાથે,73
કર્યા,પછી,73
હોય,ત્યારે,73
હતા,તે,72
અને,તેમને,72
છો,અને,72
જોવા,મળશે,72
મળ્યું,છે,71
કરી,રહ્યું,71
ચૂક્યા,છે,71
હતો,તે,70
રાજ્ય,સરકાર,70
હતો,ત્યારે,70
ઉદાહરણ,તરીકે,70
એક,સાથે,70
કહેવામાં,આવ્યું,70
છે,હાલમાં,69
એક,દિવસ,69
કહેવામાં,આવે,69
થઇ,છે,69
શકતા,નથી,69
જ,રીતે,69
લાંબા,સમય,69
આ,એક,68
મોટા,ભાગના,68
જુદા,જુદા,68
પોલીસ,દ્વારા,68
સાથે,કામ,68
છે,તેમની,68
આવી,રહ્યો,68
ત્યારે,આ,68
ન,થાય,67
બની,જાય,67
જણાવ્યા,મુજબ,67
શક્યતા,છે,67
શરૂ,કર્યું,67
છે,ત્યાં,67
પડી,હતી,67
તરત,જ,67
આ,ગામમાં,67
ટૂંક,સમયમાં,67
લીધા,હતા,67
પણ,એક,67
પણ,તે,67
થઇ,શકે,66
બે,દિવસ,66
કેન્દ્ર,સરકાર,66
શક્ય,છે,66
માટે,તૈયાર,66
દર,વર્ષે,66
એક,પણ,66
સમય,સુધી,66
ઘણી,વખત,66
જરૂર,નથી,66
આ,સમયે,65
છે,આમ,65
કરીએ,છીએ,65
દાખલ,કરવામાં,65
હતો,જે,65
સામનો,કરવો,65
દાવો,કર્યો,65
છે,તેમને,65
સામે,આવ્યા,65
નિર્ણય,કર્યો,65
છે,જયારે,65
થાય,તે,65
પર,પ્રતિબંધ,65
હવે,આ,65
નહીં,પરંતુ,64
આ,ઘટના,64
વર્ષ,સુધી,64
સૌથી,મોટી,64
સાથે,વાત,64
આ,પ્રસંગે,64
માંગે,છે,64
આવશે,આ,63
થઈ,જશે,63
થાય,તો,63
તમારા,માટે,63
દર્શાવે,છે,63
તો,પછી,63
કરી,અને,63
ગઇ,હતી,63
વ્યક્ત,કરી,63
નથી,તે,62
જણાવ્યા,અનુસાર,62
ભાગમાં,આવેલા,62
દે,છે,62
જાહેર,કરવામાં,62
કેમ,કે,62
છે,હાલ,62
જોકે,આ,62
પહેલા,જ,62
નવા,કેસ,62
પર,છે,61
પર,ધ્યાન,61
હોય,અને,61
કે,પછી,61
કામ,કરવા,61
વધુ,તપાસ,61
આજે,પણ,61
લોકોના,મોત,61
ગયું,હતું,61
પોલીસ,સ્ટેશનમાં,61
આ,પણ,61
અને,એ,61
ધ્યાનમાં,રાખીને,60
મદદ,કરી,60
નોંધનીય,છે,60
સામેલ,છે,60
અથવા,તો,60
ઉપલબ્ધ,છે,60
આ,પહેલા,60
છે,જેમ,60
જ,સમયે,60
જ,નથી,60
અને,તેમની,59
કરી,દીધું,59
માને,છે,59
વિભાગ,દ્વારા,59
નથી,આ,59
પહોંચી,હતી,59
કરતાં,વધુ,59
રહ્યું,હતું,58
એમ,પણ,58
જ,એક,58
કરવાનો,નિર્ણય,58
છે,હું,58
મળ્યા,હતા,58
તો,એ,58
તપાસ,કરી,58
સૌથી,વધારે,58
દીધો,હતો,58
નરેન્દ્ર,મોદીએ,58
રહ્યા,છીએ,58
જ્યાં,સુધી,58
નિર્ણય,લીધો,57
ન,હતા,57
જણાવે,છે,57
પહોંચ્યા,હતા,57
છે,કેટલાક,57
વધે,છે,57
નથી,તો,57
તે,પછી,57
છે,તેમના,57
યોગ્ય,છે,57
દૂર,કરવા,57
રાખવા,માટે,57
વાત,એ,57
છીએ,કે,56
માટે,જરૂરી,56
જોઈએ,અને,56
પડી,શકે,56
સાથે,એક,56
રાહુલ,ગાંધીએ,56
આ,વાત,56
તૈયાર,કરવામાં,56
તમને,જણાવી,56
કહી,શકાય,56
હતા,જ્યારે,56
ગયા,વર્ષે,56
કરી,દીધો,56
આ,વીડિયો,56
બની,છે,56
આપ્યું,છે,55
આ,નિર્ણય,55
કરતા,હતા,55
થઇ,જાય,55
અને,હવે,55
જો,કોઈ,55
સાથે,પણ,55
કરું,છું,55
થયેલ,છે,55
બની,હતી,55
કહ્યુ,કે,55
મહત્વનું,છે,55
આવ્યા,બાદ,55
હતું,પરંતુ,55
હોવાનું,જાણવા,55
હતા,જેમાં,55
ચૂકી,છે,54
તેમની,સાથે,54
કેટલાક,લોકો,54
ઓછામાં,ઓછા,54
છે,આવી,54
પર,આધારિત,54
બીજી,બાજુ,54
ક્લિક,કરો,54
ઉપયોગ,કરીને,54
પોલીસ,સ્ટેશન,54
મળી,રહ્યો,54
વડા,પ્રધાન,54
છે,તેણે,53
કરવું,જોઈએ,53
આવી,ગયા,53
સામે,આવ્યો,53
અને,જો,53
છે,તેનો,53
કે,જ્યારે,53
થોડા,સમય,53
હતા,કે,53
થઈ,રહ્યું,53
શરૂ,કરવામાં,52
વધારો,થયો,52
છો,કે,52
થઇ,ગયા,52
આપ્યા,છે,52
રાહુલ,ગાંધી,52
આ,બાબતે,52
સાથે,મળીને,52
ઘટના,સ્થળે,52
છે,રાજ્યમાં,52
રાજકોટ,તા,52
હાલમાં,જ,52
માંગ,કરી,52
કે,કેમ,52
કામ,કર્યું,51
જો,તમને,51
દિવસ,સુધી,51
દીધો,છે,51
મળ્યો,છે,51
તેનો,ઉપયોગ,51
હોય,તેવા,51
માટે,અને,51
થશે,અને,51
વધારે,છે,51
આ,ફિલ્મ,51
ફરી,એકવાર,51
તમે,પણ,51
સંભાવના,છે,51
કરી,શકશે,51
એક,વર્ષ,51
હોય,તેમ,51
પર,આધાર,50
કે,તેની,50
પ્રથમ,વખત,50
માટે,તમે,50
તો,બીજી,50
હતો,જ્યારે,50
આ,પ્રકારના,50
જે,લોકો,50
તો,તેને,50
ઉપયોગ,કરે,50
જ,આ,50
ન,હતો,50
કોરોના,વાયરસ,50
જો,તમારી,50
પડી,છે,50
લેવામાં,આવ્યો,50
જે,રીતે,49
જે,તે,49
મળી,કુલ,49
તે,આ,49
તંત્ર,દ્વારા,49
લેવામાં,આવે,49
પછી,પણ,49
ચાલે,છે,49
રાખવામાં,આવી,49
કરતી,વખતે,49
છે,છેલ્લા,49
ધરી,હતી,49
આ,કિસ્સામાં,49
ઘણા,લોકો,49
કરોડ,રૂપિયા,49
કોઇ,પણ,49
તે,ખૂબ,49
વધુ,સારી,49
અને,તેઓ,49
માટે,યોગ્ય,48
સાથે,આ,48
હજુ,સુધી,48
તે,પહેલાં,48
હતી,જોકે,48
બેઠક,પર,48
પછી,એક,48
વાત,છે,48
ઉપસ્થિત,રહ્યા,48
કે,નહીં,48
કરવામાં,આવતા,48
જાહેર,કરી,48
હતા,જે,48
કરવી,જોઈએ,48
પ્રાથમિક,શાળા,48
લાંબા,સમયથી,48
પાડે,છે,48
કર્યુ,છે,47
હોસ્પિટલમાં,દાખલ,47
કરી,રહેલા,47
થઈ,રહ્યા,47
એક,છે,47
છે,બીજી,47
આ,ફિલ્મમાં,47
કરવાનો,પ્રયાસ,47
પ્રયાસ,કરી,47
પીએમ,મોદી,47
અમિત,શાહ,47
રોકવા,માટે,47
તૈયાર,છે,47
રહ્યા,છો,47
આ,પ્રકારની,47
જણાવ્યા,પ્રમાણે,47
આવી,નથી,47
કરાયો,હતો,47
રોડ,ઉપર,47
નહીં,પણ,47
તાજેતરમાં,જ,47
છે,જેમાંથી,47
છે,એવું,47
મંજૂરી,આપી,47
કરવામાં,આવેલા,47
પર,જ,47
હોત,તો,46
માટે,તમારે,46
ચાલુ,છે,46
તેવી,શક્યતા,46
ધીમે,ધીમે,46
હોય,તે,46
આ,બંને,46
વાગ્યા,સુધી,46
રસ્તા,પર,46
તે,અંગે,46
પણ,કહ્યું,46
પડ્યો,હતો,46
પર,આ,46
આ,તમામ,46
માટે,છે,46
કરે,તો,46
હત્યા,કરી,46
નથી,પણ,46
હોવી,જોઈએ,46
પર,નજર,46
છે,જેનો,46
છો,તે,46
હોવું,જોઈએ,45
કરાઈ,હતી,45
પછી,આ,45
શરૂ,થાય,45
છે,વધુમાં,45
થઇ,ગઇ,45
જઈ,રહી,45
લેવામાં,આવી,45
શેર,કરી,45
માટે,જ,45
ભારતીય,જનતા,45
માંગો,છો,45
બાળકો,માટે,45
કરી,લીધી,45
કરી,શકતા,45
કોરોના,પોઝિટિવ,44
નથી,તેથી,44
આપ્યું,હતું,44
પીએમ,મોદીએ,44
અરજી,કરી,44
મળતી,માહિતી,44
એક,તરફ,44
એક,વખત,44
શરૂઆત,કરી,44
માટે,ખૂબ,44
હકીકત,એ,44
છેલ્લા,કલાકમાં,44
છેલ્લા,બે,44
પણ,થઈ,44
મળી,આવી,44
અને,તમે,44
પર,હુમલો,44
કરતા,વધુ,44
સામે,આવ્યું,44
આ,કેસમાં,44
આપવામાં,આવ્યું,44
ભારત,દેશના,44
પછી,તે,44
વહેલી,સવારે,44
કે,કોઈ,44
સાથે,જોડાયેલા,44
કે,તેના,44
આપવામાં,આવ્યા,44
ધરપકડ,કરવામાં,44
છે,આથી,43
કેન્દ્ર,સરકારે,43
જવા,માટે,43
માહિતી,મુજબ,43
ઝીણી,ઝીણી,43
સ્થળ,પર,43
અને,તમારા,43
લખ્યું,છે,43
ધરવામાં,આવી,43
આ,પછી,43
ભારે,વરસાદ,43
રહ્યુ,છે,43
જો,આ,43
દિવસ,પહેલા,43
કઈ,રીતે,43
ખાતરી,કરો,43
પહેલેથી,જ,43
વર્ષ,પહેલા,43
ધ્યાન,કેન્દ્રિત,43
અને,વધુ,43
આપવામાં,આવ્યો,43
ભાગ,લીધો,43
રાજ્ય,સરકારે,43
સોશિયલ,મીડિયામાં,43
છે,ઉલ્લેખનીય,43
ગામ,છે,43
કરેલ,છે,43
કરવો,જોઈએ,43
તેમણે,જણાવ્યું,43
બીજા,દિવસે,43
માહિતી,આપી,43
ન,હતું,43
સરકાર,અને,43
છે,સામાન્ય,43
છતાં,પણ,43
કરતો,હતો,43
છે,તેનું,43
વ્યક્ત,કર્યો,42
દીધું,છે,42
મોત,થયું,42
આવી,ગયો,42
થઇ,જશે,42
શરૂ,કરવા,42
જમીન,પર,42
છે,તેવી,42
છે,દરેક,42
કામ,કરતા,42
શરૂ,થશે,42
અમે,તમને,42
દ્વારા,આ,42
લોકો,સાથે,42
સંપૂર્ણ,રીતે,42
તૈયાર,કરી,42
કે,એ,42
કે,હવે,42
થઇ,રહી,42
યોગ્ય,રીતે,42
હતી,જ્યારે,42
રન,બનાવ્યા,42
ત્યારે,જ,42
હતું,જેમાં,42
એરપોર્ટ,પર,42
પર,કામ,42
હતું,જે,41
થયા,પછી,41
અસર,કરે,41
કે,તેમને,41
કરો,કે,41
અપીલ,કરી,41
છેલ્લા,કેટલાક,41
કે,તેમની,41
છે,પોલીસે,41
ત્યારે,તે,41
ગણવામાં,આવે,41
પર,પહોંચી,41
ફરિયાદ,નોંધાવી,41
પણ,વધુ,41
નહીં,અને,41
કરાયો,છે,41
મળ્યું,હતું,41
પણ,નથી,41
કે,ભારત,41
અને,તેમાં,41
ગુજરાત,રાજ્યના,40
માનવું,છે,40
બની,ગયા,40
હતી,પણ,40
બાદ,હવે,40
હતું,તે,40
એક,વાર,40
એવું,પણ,40
કરશે,અને,40
થઇ,ગયું,40
મળી,રહ્યું,40
કરાઈ,છે,40
જેને,કારણે,40
છે,તેવા,40
જઈ,રહ્યા,40
દીધા,હતા,40
જવાબ,આપ્યો,40
જાણ,કરી,40
છે,આપણે,40
મોટા,પ્રમાણમાં,40
અને,તેથી,40
પરંતુ,જો,39
આવશે,અને,39
હોઇ,શકે,39
પણ,આપવામાં,39
ચુક્યા,છે,39
સાથે,વાતચીત,39
તરફ,દોરી,39
પોલીસ,અને,39
તૈયારી,કરી,39
છું,કે,39
સારવાર,અર્થે,39
નક્કી,કરવામાં,39
કે,તમારી,39
આપી,શકે,39
શકે,તે,39
સાથે,લગ્ન,39
ચાલી,રહ્યું,39
ઉપયોગ,કરવો,39
શરૂ,થઇ,39
મુખ્યમંત્રી,વિજય,39
મિનિટ,માટે,39
આ,મુદ્દે,39
બહાર,આવી,39
સૌ,પ્રથમ,39
મળ્યા,છે,39
વધી,જાય,39
કરાયું,હતું,39
કર્યુ,હતું,39
કલાક,સુધી,38
આપી,રહ્યા,38
વિરાટ,કોહલી,38
થશે,આ,38
જે,એક,38
છે,ને,38
સફળતા,મળી,38
લખ્યું,હતું,38
કે,તેને,38
છે,તાજેતરમાં,38
માગે,છે,38
બન્યા,છે,38
છે,ઉપરાંત,38
જે,બાદ,38
ગુનો,નોંધી,38
રહે,તે,38
કે,શું,38
છે,પછી,38
એ,માટે,38
બાદ,આ,38
સૌથી,મોટો,37
અર્થ,એ,37
આવ્યુ,છે,37
સુધી,પહોંચી,37
છીએ,અને,37
તમે,એક,37
ઉપયોગ,કરો,37
સમય,માટે,37
સાથે,સંકળાયેલા,37
સુપ્રીમ,કોર્ટે,37
છે,અત્યાર,37
જોવા,મળ્યા,37
તેના,કારણે,37
ઓળખાય,છે,37
લાખ,રૂપિયા,37
કરતા,હોય,37
અને,બીજી,37
હોવ,તો,37
પરિવાર,સાથે,37
દેશના,પશ્ચિમ,37
પશ્ચિમ,ભાગમાં,37
પર,અસર,37
મળી,રહે,37
તમે,આ,37
રૂ,કરોડ,37
રજૂ,કરવામાં,36
ધમકી,આપી,36
છે,પોલીસ,36
લાગી,હતી,36
સુધી,આ,36
છે,કોઈ,36
હતો,જોકે,36
આવે,તેવી,36
આમ,તો,36
છે,તમારા,36
સાથે,મુલાકાત,36
રહેશે,અને,36
ગામમાં,પ્રાથમિક,36
રીતે,કામ,36
મળે,તો,36
જણાવવામાં,આવ્યું,36
મદદ,કરશે,36
આપ્યા,હતા,36
હતી,તેમણે,36
જોવા,માટે,36
સરળ,છે,36
લોકો,આ,36
આજે,સવારે,36
પરંતુ,હવે,36
સાથે,જોડાયેલી,36
મુલાકાત,લીધી,36
મોદી,અને,36
છે,માત્ર,36
શકે,તેમ,36
વિશે,વાત,36
શોધવા,માટે,36
સૌથી,મોટા,36
રીતે,આ,36
છે,ઘણા,36
નક્કી,કરી,35
જો,તે,35
પોલીસ,મથકે,35
વધુ,લોકો,35
પણ,તેની,35
નક્કી,કર્યું,35
કાર્યવાહી,કરવામાં,35
નોંધાયો,હતો,35
હતો,જો,35
અને,જે,35
તે,દરમિયાન,35
જાય,તો,35
નોંધાયો,છે,35
જ્યારે,આ,35
છે,શું,35
ઉપયોગ,કરવા,35
છે,તમને,35
રહેવા,માટે,35
અને,માં,35
ખબર,પડી,35
આ,કામ,35
તેમ,છે,35
છે,માટે,35
પહેલાં,જ,35
થઇ,ગયો,35
છે,જેનાથી,35
અને,બીજા,35
દાખલ,કરી,35
અને,પોલીસ,35
આ,વિસ્તારમાં,35
નથી,કારણ,35
વધી,રહી,35
પણ,વાંચો,35
અને,જ્યારે,35
હતી,જેના,35
ગુનો,દાખલ,35
આશા,છે,35
તો,તેની,35
છે,એમ,35
લીધા,છે,34
બધા,જ,34
બન્યો,છે,34
આગામી,દિવસોમાં,34
જ્યારે,તમે,34
અન્ય,એક,34
બાદ,પણ,34
સરકાર,પર,34
આવશ્યક,છે,34
તો,તમારે,34
જાણકારી,આપી,34
તેમના,પર,34
એક,પછી,34
તપાસ,કરવામાં,34
આવેલા,ગુજરાત,34
જ્યારે,તે,34
વધારો,થશે,34
માર્ગદર્શન,હેઠળ,34
કે,તેમના,34
પ્રયાસ,કર્યો,34
દિવસ,માટે,34
ન,કરી,34
પસંદ,કરી,34
કારણ,છે,34
કેસ,સામે,34
તે,પહેલા,34
આધારિત,છે,34
નથી,જો,34
રાખવામાં,આવે,33
છે,દેશમાં,33
જ,જોઈએ,33
મોદી,સરકાર,33
બનાવી,છે,33
દીધા,છે,33
મળ્યા,બાદ,33
જિલ્લામાં,આવેલા,33
એક,ગામ,33
સલમાન,ખાન,33
સૂત્રોના,જણાવ્યા,33
છે,અન્ય,33
જાણે,છે,33
બચવા,માટે,33
બનાવવામાં,આવે,33
આપી,દીધી,33
જણાવેલ,કે,33
નોંધાવી,હતી,33
તેની,પાસે,33
પોઝિટિવ,કેસ,33
ત્રણ,દિવસ,33
મુશ્કેલ,છે,33
રજૂ,કરી,33
આવ્યાં,છે,33
છે,લોકો,33
આ,બધા,33
આવી,જ,33
તે,વિશે,33
પહોંચ્યો,છે,33
ઘટાડો,થયો,33
પણ,એ,33
કરવામાં,આવેલી,33
કાયદેસરની,કાર્યવાહી,32
હતી,જેને,32
છે,ગુજરાતમાં,32
જરૂર,પડશે,32
એ,પછી,32
મળી,રહ્યા,32
માટે,મદદ,32
અટકાવવા,માટે,32
માહિતી,અનુસાર,32
કેસ,છે,32
પસંદ,કરે,32
અને,તેણે,32
એ,વાત,32
વાયરલ,થઈ,32
ખેતી,ખેતમજૂરી,32
વર્ષ,માટે,32
કે,તેમણે,32
હાજર,રહ્યા,32
છે,ભારતીય,32
આ,સમય,32
થાય,તેવી,32
તમે,તેને,32
બચાવવા,માટે,32
લેવામાં,આવશે,32
બનાવી,હતી,32
તે,માત્ર,32
જોઈએ,આ,32
ગંભીર,રીતે,32
તેમના,માટે,32
પરવાનગી,આપે,32
જ,હોય,32
બન્યા,હતા,32
છે,જેનું,32
એક,વીડિયો,32
ચુકી,છે,32
હોવાને,કારણે,32
ન,કરો,32
કે,આપણે,32
નહીં,થાય,32
હતી,જો,32
હશે,તો,32
માટે,કોઈ,32
કોઈ,જ,32
વર્ષ,બાદ,32
કરવી,પડશે,32
પસંદ,કરો,32
છો,આ,31
ચાલી,રહ્યો,31
હતું,જ્યારે,31
પહોંચી,ગયો,31
પણ,જોવા,31
મળી,આવ્યા,31
બન્યું,છે,31
ત્યાં,જ,31
તો,એક,31
બનાવવામાં,આવી,31
શું,તમે,31
હોય,તેવું,31
પોતાના,ઘરે,31
અમદાવાદ,શહેરમાં,31
અને,ત્યાં,31
તો,તમારા,31
ઉપયોગ,થાય,31
તાલુકામાં,આવેલું,31
ફરી,એક,31
પણ,હવે,31
હો,તો,31
આવેલું,એક,31
દૂધની,ડેરી,31
છું,અને,31
પણ,કરવામાં,31
સવલતો,પ્રાપ્ય,31
તો,તેના,31
હતી,એ,31
આગળ,વધી,31
અને,બે,31
અથવા,અન્ય,30
શાળા,પંચાયતઘર,30
સારું,છે,30
કામ,કરવાની,30
બેઠકો,પર,30
કરી,દીધા,30
માંગણી,કરી,30
શામેલ,છે,30
જિલ્લા,પંચાયત,30
વરસાદની,આગાહી,30
આરોપ,લગાવ્યો,30
ગામમાં,મુખ્યત્વે,30
પહોંચી,ગયા,30
ન,આવે,30
નિર્ણય,લેવામાં,30
એક,વ્યક્તિ,30
કરવા,અને,30
કેન્દ્રીય,મંત્રી,30
ઘટાડવા,માટે,30
નોંધાવી,છે,30
ઉત્તર,પ્રદેશના,30
પ્રયાસ,કરો,30
નહીં,તો,30
જે,પણ,30
કરવો,પડે,30
કરોડ,રૂપિયાની,30
તે,છે,30
હતા,તેમણે,30
આવનાર,છે,30
ભારતીય,ક્રિકેટ,30
આવી,સ્થિતિમાં,30
હજારથી,વધુ,30
એક,એવા,30
હુમલો,કર્યો,30
કરવો,પડ્યો,30
અને,તેનો,30
હતાં,અને,30
બાકી,છે,30
પણ,તેના,30
ફરાર,થઈ,30
પોતાની,જાતને,30
કોરોના,મહામારી,30
ઘટના,સામે,30
તમે,જે,30
નથી,કરી,29
લોકોનો,મુખ્ય,29
જ,પશુપાલન,29
વ્યવસાય,ખેતી,29
પ્રધાનમંત્રી,નરેન્દ્ર,29
મુખ્ય,વ્યવસાય,29
લાગી,છે,29
મોદીએ,કહ્યું,29
ખસેડવામાં,આવ્યા,29
પછી,જ,29
ન,હોવાથી,29
જાણ,થતાં,29
દૂર,કરી,29
પહોંચે,છે,29
હોવાના,કારણે,29
હવામાન,વિભાગે,29
રહી,શકે,29
અને,સાથે,29
અલી,ખાન,29
પડ્યા,હતા,29
ઘટના,બની,29
રહેશે,આ,29
તપાસ,શરૂ,29
સામનો,કરી,29
હતા,તો,29
પહોંચી,ગઈ,29
છે,એટલું,29
વધારવા,માટે,29
વાત,કરતા,29
કર્યો,અને,29
આધાર,રાખે,29
છે,ઉદાહરણ,29
આવેલી,છે,29
અને,ત્યારબાદ,29
બે,વર્ષ,29
કરાયા,હતા,29
નહીં,આવે,29
પર,આવી,29
આવે,ત્યારે,29
પણ,વધારે,29
